Epoch 10, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 11, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 12, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 13, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 14, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 15, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 16, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 17, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 18, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 19, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 20, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 21, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 22, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 23, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 24, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 25, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 26, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 27, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 28, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 29, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 30, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 31, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 32, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 33, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 34, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 35, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 36, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 37, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 38, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 39, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 40, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 41, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 42, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 43, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 44, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 45, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 46, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 47, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 48, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 49, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 50, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 51, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 52, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 53, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 54, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 55, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 56, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 57, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 58, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 59, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
